"dbms","table_catalog","table_schema","table_name","column_name","ordinal_position","data_type","character_maximum_length","constraint_type","table_schema-2","table_name-2","column_name-2"
"postgresql","ecommerce_business","public","tenants","data",9,"json",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","orders","status",4,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","sessions","user_agent",4,"text",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","reviews","rating",2,"integer",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","users","email_verified_at",4,"timestamp without time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","public","cache","value",2,"text",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","public","failed_jobs","failed_at",7,"timestamp without time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","categories","image",5,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","public","failed_jobs","queue",4,"text",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","public","job_batches","failed_jobs",5,"integer",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","public","job_batches","pending_jobs",4,"integer",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","sessions","user_id",2,"bigint",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","password_reset_tokens","created_at",3,"timestamp without time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","sessions","payload",5,"text",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","users","name",2,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","public","jobs","created_at",7,"integer",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","order_items","quantity",2,"integer",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","users","shipping_address",6,"text",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","products","compare_price",5,"numeric",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","public","job_batches","cancelled_at",8,"integer",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","products","created_at",12,"timestamp without time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","order_items","unit_price",3,"numeric",NULL,NULL,NULL,NULL,NULL
